Date,Open,High,Low,Close,Adj Close,Volume
2018-09-22,6482,6778,6481.5,6746.5,6746.5,2536239642
2018-09-23,6746.5,6830,6626,6709,6709,1610847589
2018-09-24,6709,6779,6653,6703,6703,1017080580
2018-09-25,6703,6720,6555,6578.5,6578.5,1650008148
2018-09-26,6578.5,6578.5,6311.5,6429,6429,2725467770
2018-09-27,6429,6540,6377,6452.5,6452.5,1803487065
2018-09-28,6452.5,6759,6435,6685.5,6685.5,1928470339
2018-09-29,6685.5,6789,6521,6620,6620,2927994334
2018-09-30,6620,6620.5,6438,6581.5,6581.5,1716887274
2018-10-01,6581.5,6642.5,6515,6598.5,6598.5,1193407992
2018-10-02,6598.5,6636,6466,6571,6571,1637337327
2018-10-03,6571,6590,6444.5,6502.5,6502.5,1402030836
2018-10-04,6502.5,6509.5,6394,6465,6465,1540804688
2018-10-05,6465,6620,6459,6553,6553,1667871595
2018-10-06,6553,6658.5,6522,6582,6582,1156201039
2018-10-07,6582,6592.5,6531.5,6552,6552,578198553
2018-10-08,6552,6599,6488,6571,6571,683158128
2018-10-09,6571,6669,6550.5,6607.5,6607.5,1256335274
2018-10-10,6607.5,6614.5,6563,6591,6591,772207701
2018-10-11,6591,6591.5,6452,6530,6530,1500208025
2018-10-12,6530,6530.5,6005,6154.5,6154.5,3393156568
2018-10-13,6154.5,6233.5,6100,6182.5,6182.5,1140618977
2018-10-14,6182.5,6212.5,6166,6193.5,6193.5,565325381
2018-10-15,6193.5,6300,6142,6181.5,6181.5,1003003304
2018-10-16,6181.5,6818,6147,6436.5,6436.5,3808169212
2018-10-17,6436.5,6497.5,6383,6456,6456,1347675108
2018-10-18,6456,6458,6409,6438.5,6438.5,710975400
2018-10-19,6438.5,6488,6350,6394.5,6394.5,1113414516
2018-10-20,6394.5,6405,6366,6384,6384,620702624
2018-10-21,6384,6425,6367,6407.5,6407.5,468491105
2018-10-22,6407.5,6465,6405.5,6413,6413,604132354
2018-10-23,6413,6426,6369,6412.5,6412.5,687226047
2018-10-24,6412.5,6415.5,6360,6395,6395,651666576
2018-10-25,6395,6490,6394.5,6412.5,6412.5,835272558
2018-10-26,6412.5,6419,6368,6393.5,6393.5,755916346
2018-10-27,6393.5,6468,6386.5,6406.5,6406.5,773455031
